c:\users\gizmo\git\gameproj2d\src\game.c:20: ---==== BEGIN ====---
c:\users\gizmo\git\gameproj2d\src\gf2d_graphics.c:132: graphics initialized
c:\users\gizmo\git\gameproj2d\src\gf2d_sprite.c:44: sprite system initialized
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 3.144654 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 55.555557 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 58.823528 FPS
c:\users\gizmo\git\gameproj2d\src\game.c:65: Rendering at 62.500000 FPS
